Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Samsung,4.8,33,2,53999,12 GB RAM,256 GB ROM,27.69 cm (10.9 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Apple,4.7,3491,258,49900,8GB,256GB,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Apple,4.7,3491,258,33900,6GB,128GB,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Nokia,4.2,2461,300,18899,4 GB RAM,64 GB ROM,26.31 cm (10.36 inch) 2K Display,Unisoc T610,8.0 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
I,2.9,11,1,7099,3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8.0 MP Primary Camera | 5 MP Front,1 Year Manufacturing Warranty for Product and 6 Month on Accessories.
Lenovo,4.2,2059,151,22999,4 GB RAM,128 GB ROM,26.95 cm (10.61 inch) Display,Qualcomm Snapdragon 695,13 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Samsung,4.6,18725,823,56999,12 GB RAM,256 GB ROM,31.5 cm (12.4 Inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
Lenovo,4.3,5315,361,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,18999,8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
I,4.4,5,1,9057,4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
OnePlus,4.6,1450,121,36999,8.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Display,Snapdragon 8 Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
