Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Lenovo,4.3,5315,361,"₹14,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,"₹18,999",8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Samsung,4.5,3054,161,"₹27,890",6 GB RAM,128 GB ROM,27.69 cm (10.9 inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
REDMI,4.4,967,76,"₹20,999",6.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Quad HD Display,Snapdragon 7s Gen 2,8.0 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
REDMI,4.3,944,51,"₹9,999",4.0 GB RAM,64 GB ROM,22.1 cm (8.7 Inch) HD Display,MediaTek Helio G85,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
REDMI,4.3,944,51,"₹10,999",4.0 GB RAM,128 GB ROM,22.1 cm (8.7 Inch) HD Display,MediaTek Helio G85,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Lenovo,4.3,5315,361,"₹13,999",4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Baatu,,,,"₹8,399",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MideaTek,8 MP Primary Camera | 5 MP Front,1 Year Hardware Warranty
Xiaomi,4.5,846,64,"₹30,999",12 GB RAM,256 GB ROM,28.37 cm (11.17 inch) WQXGA+ Display,Snapdragon 7+ Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
Samsung,4.5,31778,1196,"₹21,947",4 GB RAM,64 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8 MP Primary Camera | 5 MP Front,
Baatu,4.1,156,21,"₹8,199",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,
realme,4.4,13665,1171,"₹19,199",4 GB RAM,64 GB ROM,27.94 cm (11 inch) WUXGA+ Display,Qualcomm Snapdragon 695,13 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
realme,4.4,33463,2641,"₹24,999",6 GB RAM,128 GB ROM,29.21 cm (11.5 inch) Full HD Display,Mediatek G99,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Xiaomi,4.5,846,64,"₹27,999",8 GB RAM,128 GB ROM,28.37 cm (11.17 inch) WQXGA+ Display,Snapdragon 7+ Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
realme,4.4,33463,2641,"₹24,999",6 GB RAM,128 GB ROM,29.21 cm (11.5 inch) Full HD Display,Mediatek G99,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
OnePlus,4.6,1450,121,"₹39,999",12.0 GB RAM,256 GB ROM,30.73 cm (12.1 inch) Display,Snapdragon 8 Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Apple,4.7,3491,258,"₹33,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
